"concept_code","display_name","challenge_specificity","direct_parent_codes","direct_child_codes","curator_note","review_applicability"
"DUCK_FAT","Entenfett","SPECIFIC","COOKING_FATS","","Ausgelassenes Entenfett mit charakteristischem Geflügelaroma zum Braten, Confieren oder Verfeinern.","APPLICABLE"
"DUCK_LEG","Entenkeule","SPECIFIC","DUCK","","Entenkeule mit dunklem, bindegewebsreichem Fleisch; für Braten, Schmoren oder Confieren geeignet.","APPLICABLE"
"DULSE","Dulse","SPECIFIC","SEAWEED","","Essbare rote Meeresalge mit salzigem, leicht rauchig-umamireichem Geschmack; meist getrocknet erhältlich.","APPLICABLE"
"DUMPLING_DOUGH","Dumpling-Teig","SPECIFIC","DUMPLING_WRAPPERS","","Ungeschnittener Teig zur Herstellung von Dumpling-Hüllen; Zusammensetzung und Dicke bleiben offen.","APPLICABLE"
"DUMPLING_WRAPPERS","Teigblatt oder Dumpling-Hülle","OPEN","STARCHES","DUMPLING_DOUGH|RICE_PAPER|WONTON_WRAPPERS","Offene Vorgabe für dünne Teigblätter zum Füllen und Falten; Weizen-, Reis- und andere geeignete Hüllen sind möglich.","APPLICABLE"
"EDAM","Edamer","SPECIFIC","CHEESE","","Halbfester Kuhmilchkäse nach Edamer Art; umfasst Edam/Edamer als Produkttyp und ist nicht auf die geschützte Herkunftsbezeichnung Edam Holland beschränkt.","APPLICABLE"
"EDAMAME","Edamame","SPECIFIC","POD_VEGETABLES|SOYBEANS","","Unreif geerntete grüne Sojabohnen, meist in der Schote blanchiert oder ausgelöst; nicht reife trockene Sojabohnen.","APPLICABLE"
"EDIBLE_SNAILS","essbare Schnecken","OPEN","MOLLUSCS","FRESHWATER_SNAILS|LAND_SNAILS|SEA_SNAILS","Offene Familie essbarer Land-, Süßwasser- und Meeresschnecken als küchenfertige Zutat; Art und Lebensraum bleiben wählbar. Nicht Muscheln oder andere Weichtiergruppen.","APPLICABLE"
"EEL","Aal","SPECIFIC","OILY_FISH","","Aal als fettreicher Fisch mit festem Fleisch; frisch, geräuchert oder anderweitig verarbeitet nur bei entsprechender Produktwahl.","APPLICABLE"
"EGG","Ei","SPECIFIC","EGGS","","Ein einzelnes Hühnerei als allgemein verfügbare Kochzutat; Eier anderer Tierarten sind damit nicht gemeint.","APPLICABLE"
"EGG_NOODLES","Eiernudeln","SPECIFIC","NOODLES","","Nudeln mit Ei als prägendem Teigbestandteil; Form und Dicke bleiben offen.","APPLICABLE"
"EGGPLANT","Aubergine","SPECIFIC","FRUIT_VEGETABLES","THAI_EGGPLANT","Aubergine mit schwammigem, beim Garen cremig werdendem Fruchtfleisch; Sorte und Farbe bleiben offen.","APPLICABLE"
"EGGS","Eier","OPEN","","DUCK_EGG|EGG|QUAIL_EGG","Offene Vorgabe für Vogeleier; Art, Größe und Zubereitungsfunktion werden bewusst nicht festgelegt.","APPLICABLE"
"EGUSI_SEEDS","Egusi-Samen","SPECIFIC","SEEDS","","Ölreiche Samen bestimmter westafrikanischer Melonenarten, meist gemahlen zum Binden und Aromatisieren; nicht Kürbiskerne.","APPLICABLE"
"ELDERBERRY","Holunderbeeren","SPECIFIC","BERRIES","","Reife Holunderbeeren mit herb-säuerlichem Aroma; nur gegart verwenden, nicht rohe unreife Beeren.","APPLICABLE"
"ENDIVE","Endivie","SPECIFIC","SALAD_GREENS","","Endivienblätter mit knackiger Textur und deutlicher Bitterkeit; glatte und krause Formen sind umfasst.","APPLICABLE"
"ENOKI","Enoki","SPECIFIC","MUSHROOMS","","Langstielige, kleinhütige Enoki-Pilze mit zartem Biss und mildem Geschmack; kultivierte helle Ware ist üblich.","APPLICABLE"
"ESCARGOT","Weinbergschnecken","SPECIFIC","LAND_SNAILS","","Essbare Landschnecken nach Weinbergschnecken-/Escargot-Art, küchenfertig ausgelöst oder im Gehäuse; frisch, tiefgekühlt oder konserviert. Nicht Meer- oder Süßwasserschnecken.","APPLICABLE"
"EVAPORATED_MILK","Kondensmilch","SPECIFIC","FRESH_DAIRY_PRODUCTS","","Ungesüßte, durch Wasserentzug konzentrierte Milch; nicht gezuckerte Kondensmilch.","APPLICABLE"
"FARRO","Emmer oder Farro","SPECIFIC","GRAINS","","Emmer beziehungsweise als Farro verkauftes geschältes Weizenkorn mit nussigem Geschmack und festem Biss.","APPLICABLE"
"FENALAR","Fenalår","SPECIFIC","CURED_MEAT","","Gesalzene und luftgetrocknete Keule von Schaf oder Lamm nach norwegischer Fenalår-Art. Nicht beliebiges Trockenfleisch, Schinken oder bereits zubereitetes Gericht.","APPLICABLE"
"FENNEL","Fenchel","SPECIFIC","STEM_VEGETABLES","","Fenchelknolle mit knackiger bis zarter Textur und mildem Anisaroma; Grün kann mitverwendet werden.","APPLICABLE"
"FENNEL_SEED","Fenchelsaat","SPECIFIC","SPICES","","Getrocknete Fenchelfrüchte mit süßlich-anisartigem Aroma; ganz oder gemahlen, nicht Fenchelknolle.","APPLICABLE"
"FENUGREEK","Bockshornklee","SPECIFIC","SPICES","","Bockshornkleesamen mit herb-würzigem, leicht bitterem Aroma; ganz oder gemahlen sparsam verwendbar.","APPLICABLE"
"FERMENTED_BLACK_BEANS","fermentierte schwarze Bohnen","SPECIFIC","BLACK_BEANS|FERMENTED_SEASONINGS","","Salzig fermentierte schwarze Sojabohnen nach Douchi-Art; als Würzzutat gemeint, nicht gewöhnliche schwarze Bohnen.","APPLICABLE"
"FERMENTED_CUCUMBER","Salzgurke","SPECIFIC","CUCUMBER|PRESERVED_PRODUCE","","Milchsauer in Salzlake fermentierte Gurke; bewusst von essigbasierter Gewürzgurke getrennt.","APPLICABLE"
"FERMENTED_SEASONINGS","fermentierte Würzzutat","OPEN","SAUCES_AND_PASTES","BAGOONG|COM_ME|DOENJANG|DOUBANJIANG|FERMENTED_BLACK_BEANS|FERMENTED_TOFU|FISH_SAUCE|GOCHUJANG|HOISIN_SAUCE|MAM_NEM|MISO|PLA_RA|SHRIMP_PASTE|SOUR_RYE_STARTER|SOY_SAUCE|TAI_PLA|VIETNAMESE_SOYBEAN_PASTE|WORCESTERSHIRE_SAUCE|YEAST_EXTRACT","Offene Familie fermentierter Würzsaucen, Pasten und vergleichbarer Zutaten; Rohstoff und Konsistenz bleiben offen.","APPLICABLE"
"FERMENTED_TOFU","fermentierter Tofu","SPECIFIC","FERMENTED_SEASONINGS|TOFU","STINKY_TOFU","In Lake gereifte Tofuwürfel mit kräftigem, salzigem Aroma und cremiger Textur; als Würzmittel, nicht als fester Tofublock.","APPLICABLE"
"FETA","Feta","SPECIFIC","CHEESE","","Salzlakenkäse nach Feta-Art aus Schafmilch mit möglichem Ziegenmilchanteil; krümelig, säuerlich und salzig.","APPLICABLE"
"FIG","Feige","SPECIFIC","FRUIT","","Feige mit weichem, samenreichem und honigartig süßem Fruchtfleisch; frisch oder ungesüßt getrocknet verwendbar.","APPLICABLE"
"FINGERROOT","Fingerwurz","SPECIFIC","SPICES","","Fingerartige Rhizome von Boesenbergia rotunda mit erdig-zitrischem, leicht pfeffrig-kampferartigem Aroma; frisch, tiefgekühlt oder in Lake verwendbar. Nicht Ingwer oder Galgant.","APPLICABLE"
"FIRM_TOFU","fester Tofu","SPECIFIC","TOFU","","Fester gepresster Tofu, der schneiden, braten und marinieren verträgt; nicht Seidentofu.","APPLICABLE"
"FISH","Fisch","OPEN","SEAFOOD","CARP|FISH_ROE|MILKFISH|OILY_FISH|PRESERVED_FISH|SURIMI|SWORDFISH|TUNA|WHITE_FISH","Offene Vorgabe für Speisefisch; Art, Fettgehalt, Zuschnitt und Frisch- oder Konservenform bleiben echte Auswahlentscheidungen.","APPLICABLE"
"FISH_MINT","Fischminze","SPECIFIC","FRESH_HERBS","","Frische Fischminzenblätter mit intensiv kräuterigem, zitrisch-fischigem Aroma; vor allem roh in Kräutertellern, Salaten und zu Fleisch- oder Suppengerichten. Trotz des Namens keine Minzart.","APPLICABLE"
"FISH_ROE","Fischrogen","OPEN","FISH","SALMON_ROE|TROUT_ROE","Offene Vorgabe für essbare Fischeier; Fischart, Körnung, Salzgrad und Verarbeitung bleiben offen.","APPLICABLE"
"FISH_SAUCE","Fischsauce","SPECIFIC","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES","","Salzige fermentierte Würzsauce aus Fisch und Salz mit intensivem Umami; nicht Fischfond.","APPLICABLE"
"FISH_STOCK","Fischfond","SPECIFIC","STOCKS","","Brühe oder Fond auf Basis von Fischgräten und -abschnitten; nicht Dashi oder Fischsauce.","APPLICABLE"
"FIVE_SPICE","Fünf-Gewürze-Pulver","SPECIFIC","SPICE_BLENDS","","Chinesisch geprägte Gewürzmischung mit typischerweise Sternanis, Fenchel, Zimt, Nelke und Szechuanpfeffer; Mischungen variieren.","APPLICABLE"
"FLATBREAD","Fladenbrot","OPEN","BREAD","FLATBROD|LEFSE|PITA","Offene Familie flacher Brote, weich oder knusprig und mit oder ohne Triebmittel; konkrete Küche und Getreide bleiben offen.","APPLICABLE"
"FLATBROD","Flatbrød","SPECIFIC","FLATBREAD","","Sehr dünnes, trockenes und knuspriges norwegisches Fladenbrot nach Flatbrød-Art. Traditionelle Getreidebasis kann variieren. Nicht generisches Knäckebrot oder beliebiges weiches Fladenbrot.","APPLICABLE"
"FLAXSEED","Leinsamen","SPECIFIC","SEEDS","","Leinsamen mit nussigem Geschmack und hoher Quell- beziehungsweise Bindefähigkeit; ganz oder geschrotet verwendbar.","APPLICABLE"
"FLEUR_DE_SEL","Fleur de sel","SPECIFIC","SPICES","","Feine, an der Oberfläche von Salzgärten abgeschöpfte Meersalzkristalle nach Fleur-de-sel-Art; nicht gewöhnliches Tafelsalz und nicht beliebiges grobes Meersalz. Keine Herkunft aus Guérande wird vorausgesetzt.","APPLICABLE"
"FLOUR","Mehl","OPEN","STARCHES","BUCKWHEAT_FLOUR|CHICKPEA_FLOUR|RICE_FLOUR|RYE_FLOUR|WHEAT_FLOUR","Offene Vorgabe für fein gemahlenes Getreide, Pseudogetreide oder Hülsenfrüchte; Rohstoff und Backeigenschaften bleiben wählbar.","APPLICABLE"
"FLOWER_VEGETABLES","Blütengemüse","OPEN","VEGETABLES","ARTICHOKE|BANANA_BLOSSOM|BROCCOLI|CAULIFLOWER|ROMANESCO","Offene Vorgabe für Gemüse, dessen Blütenstand oder Blütenknospe im Mittelpunkt steht, etwa Brokkoli oder Artischocke.","APPLICABLE"
"FOIE_GRAS","Foie gras","SPECIFIC","OFFAL|POULTRY","","Fettleberprodukt aus Ente oder Gans; umfasst rohe beziehungsweise zur weiteren Verarbeitung geeignete sowie klassische ganze oder Block-Produktformen. Nicht gewöhnliche Leber und nicht mit Leberpastete gleichsetzen.","APPLICABLE"
"FRANKFURT_GREEN_SAUCE","Frankfurter Grüne Soße","SPECIFIC","READY_SAUCES_AND_PASTES","","Frankfurter Kräutersauce mit charakteristischer Sieben-Kräuter-Basis; weitere Bestandteile und genaue Rezeptur können variieren. Gemeint ist die zubereitete Sauce, nicht lediglich das Kräuterpäckchen.","APPLICABLE"
"FREEKEH","Freekeh","SPECIFIC","GRAINS","","Grün geernteter, gerösteter und gebrochener Weizen mit rauchig-nussigem Geschmack und festem Biss.","APPLICABLE"
"FRENCH_FRIES","Pommes frites","SPECIFIC","POTATO","","Pommes frites als eigenständige Kartoffel-Produktform: in Stäbchen geschnittene und frittierte beziehungsweise typischerweise vorfrittierte Kartoffeln. Umfasst auch handelsübliche tiefgekühlte Pommes; nicht beliebige Bratkartoffeln, Kartoffelspalten oder Chips.","APPLICABLE"
"FRESH_DAIRY_PRODUCTS","frisches Milchprodukt","OPEN","DAIRY_PRODUCTS","CREAM|CREAM_CHEESE|EVAPORATED_MILK|MILK|YOGURT","Offene Vorgabe für frische, nicht gereifte Milchprodukte wie Milch, Sahne oder Frischkäse.","APPLICABLE"
"FRESH_HERBS","Kräuter und Würzblätter","OPEN","","BANANA_LEAVES|BASIL|BAY_LEAF|CHERVIL|CHIVES|CILANTRO|CULANTRO|CURRY_LEAVES|DILL|FISH_MINT|GARLIC_CHIVES|KAFFIR_LIME_LEAVES|LA_LOT_LEAVES|LEMONGRASS|LOVAGE|MARJORAM|MINT|OREGANO|PANDAN_LEAVES|PARSLEY|PERILLA_LEAVES|RICE_PADDY_HERB|ROSEMARY|SAGE|TARRAGON|THYME|VIETNAMESE_CORIANDER","Offene Vorgabe für frische Küchenkräuter und aromatische Würzblätter; konkrete Pflanze und Intensität bleiben offen.","NOT_APPLICABLE_STRUCTURE"
"FRESH_TURMERIC","frischer Kurkuma","SPECIFIC","SPICES","","Frisches Kurkuma-Rhizom mit erdig-pfeffrigem Aroma und starker gelber Färbung; nicht getrocknetes Pulver.","APPLICABLE"
"FRESHWATER_SNAILS","Süßwasserschnecken","OPEN","EDIBLE_SNAILS|SHELLFISH","","Offene Vorgabe für essbare Süßwasserschnecken, ganz oder ausgelöst und küchenfertig gereinigt. Nicht Weinberg- oder Meeresschnecken und nicht bereits zubereitete Schneckensuppe.","APPLICABLE"
"FRIED_ONIONS","Röstzwiebeln","SPECIFIC","ONION","","Knusprig frittierte Röstzwiebeln als fertige Zutat beziehungsweise Topping; nicht lediglich frisch angebratene Zwiebel.","APPLICABLE"
"FROG_LEGS","Froschschenkel","SPECIFIC","MEAT","","Essbare Froschschenkel mit zartem, mildem Fleisch; frisch oder tiefgekühlt als ganze Schenkelpaare beziehungsweise Teilstücke verwendbar.","APPLICABLE"
"FRUIT","Obst","OPEN","","BERRIES|CITRUS_FRUIT|DATE|DRIED_FRUIT|FIG|GRAPE|KIWI|MELONS|PERSIMMON|POMEGRANATE|POME_FRUIT|STONE_FRUIT|TROPICAL_FRUIT","Offene Vorgabe für kulinarisch als Obst verwendete Früchte; Art, Säure, Süße und Textur bleiben bewusst wählbar.","APPLICABLE"
"FRUIT_DUMPLING","Obstknödel","OPEN","STARCHES","","Süßer gekochter oder gedämpfter Knödel mit Fruchtfüllung; Teig kann unter anderem Hefe-, Quark- oder Kartoffelteig sein, die verwendete Frucht variiert.","APPLICABLE"
"FRUIT_VEGETABLES","Fruchtgemüse","OPEN","VEGETABLES","BELL_PEPPER|BITTER_MELON|CHILI|CUCUMBER|EGGPLANT|OKRA|PEA_EGGPLANT|PUMPKIN|TOMATILLO|TOMATO|ZUCCHINI","Offene Vorgabe für botanische Früchte, die herzhaft als Gemüse verwendet werden, etwa Tomate, Paprika oder Kürbis.","APPLICABLE"
"GAC_FRUIT","Gấc-Frucht","SPECIFIC","TROPICAL_FRUIT","","Reife Gấc-Frucht beziehungsweise ihr tief orange-rotes Fruchtfleisch um die Samen; vor allem zum Färben und mild-fruchtigen Aromatisieren von Klebreis und Festgebäck. Nicht Drachenfrucht oder bloße Lebensmittelfarbe.","APPLICABLE"
"GALANGAL","Galgant","SPECIFIC","SPICES","","Südostasiatisches Rhizom mit zitrisch-pfeffrigem, harzigem Aroma; frisch oder tiefgekühlt, nicht mit Ingwer gleichsetzen.","APPLICABLE"
"GAME_MEAT","Wildfleisch","OPEN","MEAT","MOOSE|RABBIT|REINDEER|VENISON|WILD_BOAR","Offene Vorgabe für Fleisch jagdbarer Wildtiere; Tierart, Zuschnitt und Intensität bleiben bewusst wählbar.","APPLICABLE"
"GARAM_MASALA","Garam Masala","SPECIFIC","SPICE_BLENDS","","Indische Gewürzmischung aus warm-aromatischen Gewürzen; Zusammensetzung und Verwendung als ganze oder gemahlene Mischung variieren.","APPLICABLE"
"GARLIC","Knoblauch","SPECIFIC","ALLIUM_VEGETABLES","BLACK_GARLIC","Knoblauchknolle mit schwefelig-scharfem, beim Garen süßlich-mildem Aroma; frisch gemeint, nicht Pulver.","APPLICABLE"
"GARLIC_BUTTER","Knoblauchbutter","SPECIFIC","BUTTER","","Butterzubereitung mit Knoblauch als prägendem Aroma; weitere Kräuter sind möglich, aber nicht erforderlich.","APPLICABLE"
"GARLIC_CHIVES","Knoblauch-Schnittlauch","SPECIFIC","ALLIUM_VEGETABLES|FRESH_HERBS","","Flaches asiatisches Schnittlauchgewächs mit deutlichem Knoblaucharoma; auch Knoblauch-Schnittlauch genannt.","APPLICABLE"
"GARLIC_POWDER","Knoblauchpulver","SPECIFIC","SPICES","","Getrockneter gemahlener oder granulierter Knoblauch mit konzentriertem Aroma; nicht frischer Knoblauch oder Knoblauchsalz.","APPLICABLE"
"GHEE","Ghee","SPECIFIC","COOKING_FATS|DAIRY_PRODUCTS","","Geklärtes Butterreinfett mit nussigem Aroma und hoher Hitzetoleranz; nahezu frei von Wasser und Milcheiweiß.","APPLICABLE"
"GINGER","Ingwer","SPECIFIC","SPICES","PICKLED_GINGER","Frisches Ingwer-Rhizom mit zitrischer Schärfe; nicht getrocknetes Ingwerpulver oder eingelegter Ingwer.","APPLICABLE"
"GIO_LUA","Giò lụa oder Chả lụa","SPECIFIC","PORK|SAUSAGE","","Fein emulgierte vietnamesische Schweinewurst mit elastisch-glatter Textur, traditionell in Bananenblättern geformt und gedämpft. Gemeint ist die schlichte Giò-lụa-/Chả-lụa-Grundform, nicht gebratene Chả-Varianten oder grobe Sülzwurst.","APPLICABLE"
"GLASS_NOODLES","Glasnudeln","SPECIFIC","NOODLES","","Transparente Nudeln aus Stärke, häufig Mungbohnen-, Süßkartoffel- oder Erbsenstärke; nicht Reisnudeln.","APPLICABLE"
"GNOCCHI","Gnocchi","SPECIFIC","STARCHES","","Kleine weiche Klößchen, typischerweise auf Kartoffel- und Mehlbasis; gemeint ist das ungefüllte Grundprodukt.","APPLICABLE"
"GOAT","Ziegenfleisch","SPECIFIC","MEAT","","Ziegenfleisch mit kräftigem Eigengeschmack; Zuschnitt und Alter des Tieres bleiben offen.","APPLICABLE"
"GOAT_CHEESE","Ziegenkäse","SPECIFIC","CHEESE","","Käse aus Ziegenmilch; Frischkäse, Weichkäse und gereifte feste Formen sind mögliche Ausprägungen.","APPLICABLE"
"GOCHUGARU","Gochugaru","SPECIFIC","CHILI_FLAKES","","Koreanische grobe Chiliflocken mit fruchtigem Aroma und meist mittlerer Schärfe; nicht beliebige Chiliflocken.","APPLICABLE"
"GOCHUJANG","Gochujang","SPECIFIC","CHILI_CONDIMENTS|FERMENTED_SEASONINGS","","Koreanische fermentierte rote Chilipaste mit dicklicher Konsistenz sowie süß-scharfem, salzigem und umamireichem Profil.","APPLICABLE"
"GOOSE","Gans","SPECIFIC","POULTRY","","Gänsefleisch ohne Festlegung auf Brust, Keule oder ganzes Tier; fettreiche Haut ist ein typischer Bestandteil.","APPLICABLE"
"GOOSEBERRY","Stachelbeere","SPECIFIC","BERRIES","","Stachelbeere mit fester Schale und süß-säuerlichem bis herbem Fruchtfleisch; Farbe und Reifegrad bleiben offen.","APPLICABLE"
"GOUDA","Gouda","SPECIFIC","CHEESE","","Halbfester bis fester Kuhmilchkäse nach Gouda-Art; Reifegrad reicht von mild-cremig bis kristallin-würzig.","APPLICABLE"
"GRAINS","Getreide oder Pseudogetreide","OPEN","STARCHES","AMARANTH|BARLEY|BUCKWHEAT|BULGUR|CORN|COUSCOUS|FARRO|FREEKEH|MILLET|OATS|QUINOA|RICE|SEMOLINA|SPELT|WILD_RICE","Offene Vorgabe für Getreide und kulinarisch vergleichbare Pseudogetreide; Art und Verarbeitungsgrad bleiben wählbar.","APPLICABLE"
"GRAPE","Weintrauben","SPECIFIC","FRUIT","RAISIN","Frische Weintrauben als süße, saftige Frucht; helle und dunkle sowie kernlose und kernhaltige Sorten sind umfasst.","APPLICABLE"
"GRAPEFRUIT","Grapefruit","SPECIFIC","CITRUS_FRUIT","","Große Zitrusfrucht mit saftigem, deutlich bitter-säuerlichem Fruchtfleisch; Farbe und Sorte bleiben offen.","APPLICABLE"
"GRAVLAX","Gravlax","SPECIFIC","PRESERVED_FISH|SALMON","","Mit Salz, Zucker und meist Dill trocken gebeizter roher Lachs; nicht geräuchert und nicht gegart.","APPLICABLE"
"GREEK_YOGURT","griechischer Joghurt","SPECIFIC","YOGURT","","Abgetropfter beziehungsweise besonders proteinreicher Joghurt mit dichter, cremiger Textur; Fettstufe bleibt offen, natur gemeint.","APPLICABLE"
"GREEN_ASPARAGUS","grüner Spargel","SPECIFIC","ASPARAGUS","","Grüner oberirdisch gewachsener Spargel mit kräftigerem, grasig-nussigem Aroma; Schälen ist meist nur am unteren Ende nötig.","APPLICABLE"
"GREEN_BEANS","grüne Bohnen","SPECIFIC","POD_VEGETABLES","","Junge essbare Bohnenhülsen mit knackiger Textur; vor dem Verzehr garen, nicht trockene Bohnenkerne.","APPLICABLE"
"GREEN_BELL_PEPPER","grüne Paprika","SPECIFIC","BELL_PEPPER","","Unreif grün geerntete Gemüsepaprika mit herberem, grasigem Geschmack; nicht scharfe grüne Chili.","APPLICABLE"
"GREEN_PAPAYA","grüne Papaya","SPECIFIC","PAPAYA","","Unreife feste Papaya mit mildem Geschmack, als knackiges Gemüse verwendbar; nicht reife süße Papaya.","APPLICABLE"
"GREEN_PEAS","grüne Erbsen","SPECIFIC","PEAS|POD_VEGETABLES","","Junge grüne Erbsen, frisch oder tiefgekühlt, mit süßlichem Geschmack; nicht getrocknete Spalterbsen.","APPLICABLE"
"GREEN_PEPPER","grüne Pfefferkörner","SPECIFIC","PEPPER","","Unreif geerntete Pfefferfrüchte, frisch, gefriergetrocknet oder in Lake; milder und frischer als schwarzer Pfeffer.","APPLICABLE"
"GREEN_RICE_FLAKES","Cốm oder grüne Reisflocken","SPECIFIC","RICE_PRODUCTS","","Aus jungen, noch grünen Klebreiskörnern geröstete und flachgestampfte vietnamesische Reisflocken mit zart nussigem, leicht süßlichem Aroma. Pur, in Süßspeisen, Kuchen oder als Panierung verwendbar; nicht gefärbte reife Reisflocken.","APPLICABLE"
"GREEN_SPLIT_PEAS","grüne Schälerbsen","SPECIFIC","SPLIT_PEAS","","Getrocknete grüne geschälte und halbierte Erbsen mit mild-erdigem Geschmack; nicht gelbe Schälerbsen oder frische grüne Erbsen.","APPLICABLE"
"GREEN_TEA","grüner Tee","SPECIFIC","TEA","MATCHA","Nicht oder nur wenig oxidierter Tee mit grasigem bis nussigem Profil; Sorte, Blattgrad und Röstung bleiben offen.","APPLICABLE"
"GRUYERE","Gruyère","SPECIFIC","CHEESE","","Fester gereifter Kuhmilchkäse nach Gruyère-Art mit nussig-würzigem Aroma und guter Schmelzeignung.","APPLICABLE"
"GUAVA","Guave","SPECIFIC","TROPICAL_FRUIT","","Tropische Frucht mit intensiv duftendem, süß-säuerlichem Fruchtfleisch und vielen essbaren Kernen.","APPLICABLE"
"HABANERO","Habanero","SPECIFIC","CHILI","","Sehr scharfe frische Chili mit ausgeprägt fruchtigem Aroma; Farbe und konkrete Habanero-Sorte bleiben offen.","APPLICABLE"
"HADDOCK","Schellfisch","SPECIFIC","WHITE_FISH","","Schellfisch mit mildem, magerem und blättrigem Fleisch; frisch oder tiefgekühlt, nicht automatisch geräuchert.","APPLICABLE"
"HAKE","Seehecht","SPECIFIC","WHITE_FISH","","Seehecht als magerer Weißfisch mit zartem, grobblättrigem Fleisch; Zuschnitt bleibt offen.","APPLICABLE"
"HALIBUT","Heilbutt","SPECIFIC","WHITE_FISH","","Heilbutt mit festem, mildem und vergleichsweise fleischigem Weißfischfilet; schwarzer und weißer Heilbutt sind umfasst.","APPLICABLE"
"HALLOUMI","Halloumi","SPECIFIC","CHEESE","","Fester Salzlakenkäse mit hoher Hitzestabilität und charakteristischem Biss; meist aus Schaf-, Ziegen- und/oder Kuhmilch.","APPLICABLE"
"HAM","Schinken","OPEN","CURED_MEAT|PORK","COOKED_HAM|IBERICO_HAM|PROSCIUTTO|SERRANO_HAM","Offene Schinkenfamilie aus gepökeltem Fleisch; gekochte, geräucherte und luftgetrocknete Ausprägungen sind umfasst.","APPLICABLE"
"HARISSA","Harissa","SPECIFIC","CHILI_CONDIMENTS","","Nordafrikanische Chilipaste mit Gewürzen und häufig Knoblauch; Schärfe, Ölanteil und genaue Zusammensetzung variieren.","APPLICABLE"
"HARZER_CHEESE","Harzer Käse","SPECIFIC","CHEESE","","Kräftig gereifter, sehr fettarmer Sauermilchkäse nach Harzer Art; nicht generisch jeder Sauermilchkäse oder Handkäse.","APPLICABLE"
"HAZELNUT","Haselnüsse","SPECIFIC","NUTS","","Haselnusskerne mit süßlich-nussigem Aroma; roh, geröstet, ganz oder gemahlen verwendbar.","APPLICABLE"
"HEMP_SEEDS","Hanfsamen","SPECIFIC","SEEDS","","Geschälte oder ungeschälte Hanfsamen mit mild-nussigem Geschmack; als Saat, nicht als Rauschmittel gemeint.","APPLICABLE"
"HERB_BUTTER","Kräuterbutter","SPECIFIC","BUTTER","","Butterzubereitung mit frischen oder getrockneten Kräutern; Kräutermischung und weitere milde Würzung bleiben offen.","APPLICABLE"
"HERBES_DE_PROVENCE","Kräuter der Provence","SPECIFIC","SPICE_BLENDS","","Getrocknete Kräutermischung nach Herbes-de-Provence-Art, typischerweise mit Thymian, Rosmarin, Oregano, Bohnenkraut und/oder vergleichbaren mediterranen Kräutern. Zusammensetzung kann variieren; nicht mit Fines herbes gleichsetzen.","APPLICABLE"
"HERRING","Hering","SPECIFIC","OILY_FISH","MATJES|PICKLED_HERRING","Hering als fettreicher Fisch; frisch oder schlicht tiefgekühlt gemeint, spezifische Reife- und Einlegeformen sind getrennt.","APPLICABLE"
"HERVE_CHEESE","Herve-Käse","SPECIFIC","CHEESE","","Belgischer AOP-Weichkäse aus Kuhmilch mit gewaschener Rinde. Umfasst die mildere und die kräftigere/pikante Herve-Ausprägung; charakteristisch würzig und teils sehr intensiv. Nicht mit beliebigem Limburger oder Romadur gleichsetzen.","APPLICABLE"
"HIJIKI","Hijiki","SPECIFIC","SEAWEED","","Dunkle fadenförmige Meeresalge der ostasiatischen Küche mit kräftigem Meeresaroma; üblicherweise getrocknet und eingeweicht.","APPLICABLE"
"HOISIN_SAUCE","Hoisinsauce","SPECIFIC","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES","","Dicke süß-salzige chinesische Würzsauce auf fermentierter Bohnenbasis; nicht Austernsauce oder Pflaumensauce.","APPLICABLE"
"HOKKAIDO_SQUASH","Hokkaido-Kürbis","SPECIFIC","PUMPKIN","","Orangefarbener Hokkaido-Kürbis mit essbarer Schale und nussig-süßlichem, dichtem Fruchtfleisch.","APPLICABLE"
"HOLY_BASIL","Krapao","SPECIFIC","BASIL","","Frische Blätter von Ocimum tenuiflorum mit pfeffrig-nelkenartigem Aroma, besonders für Pad Krapao. Nicht mit Thai-Basilikum verwechseln; getrockneter Tulsi-Tee ist keine gleichwertige Kochzutat.","APPLICABLE"
"HONEY","Honig","SPECIFIC","SWEETENERS","","Von Bienen erzeugtes flüssiges bis kristallines Süßungsmittel; Blütentyp und Aromaintensität bleiben offen.","APPLICABLE"
"HONEYDEW_MELON","Honigmelone","SPECIFIC","MELONS","","Helle Honigmelone mit glatter Schale und süßem, saftigem Fruchtfleisch; nicht Cantaloupe.","APPLICABLE"
"HORSERADISH","Meerrettich","SPECIFIC","ROOT_VEGETABLES","","Scharfe Meerrettichwurzel, frisch gerieben oder als möglichst schlichte Zubereitung; Schärfe verfliegt bei Hitze.","APPLICABLE"
"HOT_MUSTARD","scharfer Senf","SPECIFIC","MUSTARD","","Senf mit ausgeprägt stechender Schärfe; Körnung und verwendete Senfsaat bleiben offen.","APPLICABLE"
"HOT_PAPRIKA_POWDER","Paprikapulver rosenscharf","SPECIFIC","PAPRIKA_POWDER","","Scharfes Paprikapulver nach rosenscharfer Art; nicht süßes oder geräuchertes Paprikapulver.","APPLICABLE"
"IBERICO_HAM","Jamón ibérico","SPECIFIC","HAM","","Spanischer luftgetrockneter Schinken vom iberischen Schwein; Qualitäts- und Fütterungsklassen können variieren. Nicht automatisch Jamón ibérico de bellota und nicht mit Jamón serrano gleichsetzen.","APPLICABLE"
