"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"market_class"	"market_basis"	"proposed_availability"	"availability_note"	"evidence_requirement"	"evidence_search_terms"	"availability_evidence"	"review_flags"	"approval_status"
"LAMBIC"	"Lambic"	"APPLICABLE"	"Traditioneller belgischer Bierstil aus spontan vergorener Würze. Gemeint ist der Grundstil; Gueuze, Kriek und andere Frucht- oder Blendvarianten sind nicht automatisch eingeschlossen."	"SPECIALTY_BROAD"	"Belgoshop und Beyond Beer bilden zwei voneinander unabhängige Spezialbierwege; beide listen Cantillon Grand Cru Bruocsella als reines, ungeblendetes dreijähriges Lambic aktuell positiv, während ein allgemeiner Rostocker Getränkeweg fehlt."	"SPECIALTY"	"Tobias erreicht den Lambic-Grundstil über spezialisierte Bierhändler und nicht nur als Kriek oder Gueuze; die kleine chargenabhängige Ware verlangt eine Bestandsprüfung vor dem Versand nach Rostock."	"REQUIRED"	"Cantillon Grand Cru Bruocsella reines ungeblendetes Lambic Belgoshop Beyond Beer Rostock"	"AV2N-A-0129|AV2N-A-0129B"	"TOBIAS_ROSTOCK_PROFILE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"LAMBS_LETTUCE"	"Feldsalat"	"APPLICABLE"	"Feldsalat mit kleinen zarten Blättern und mild-nussigem Geschmack; überwiegend roh verwendet."	"GENERAL_LOCAL"	"Tobias sucht „Feldsalat“ in Rostock über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts gesucht."	"EASY"	"Das Angebot zu „Feldsalat“ über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts kontrolliert Tobias in Rostock unter folgender Warenvorgabe: „Feldsalat mit kleinen zarten Blättern und mild-nussigem Geschmack; überwiegend roh verwendet.“"	"OPTIONAL"	"Feldsalat Feldsalat mit kleinen zarten Blättern und mild-nussigem Geschmack; Tobias Rostock Gemüse frisch TK genaue Sorte; Blattsalat; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LAND_SNAILS"	"Landschnecken"	"APPLICABLE"	"Essbare Landschnecken als küchenfertige Zutat; umfasst Weinbergschnecken und mögliche weitere terrestrische Arten. Nicht Süßwasser- oder Meeresschnecken."	"GENERAL_BROAD"	"Konservierte Landschnecken über allgemeinen Feinkostversand; Culina bietet Weinbergschnecken ohne Haus als Dosenware an und nennt eine Deutschland-Lieferfrist von ungefähr einer Woche."	"PLANNED"	"Tobias kann die konkrete Landschneckenform nach Rostock bestellen, muss den längeren Culina-Versand aber in den Kochtermin einplanen."	"REQUIRED"	"Culina Weinbergschnecken Landschnecken ohne Haus Dose Versand Rostock Lieferzeit"	"AV2N-A-0134"	"TOBIAS_ROSTOCK_PROFILE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"LARD"	"Schweineschmalz"	"APPLICABLE"	"Ausgelassenes Schweinefett zum Braten, Backen oder Verfeinern; natur gemeint, nicht fertiger Griebenschmalzaufstrich."	"GENERAL_LOCAL"	"Tobias prüft „Schweineschmalz“ in Rostock über das Öl- oder Kochfettregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über das Öl- oder Kochfettregal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Schweineschmalz“, wobei folgende Abgrenzung gilt: „Ausgelassenes Schweinefett zum Braten, Backen oder Verfeinern; natur gemeint, nicht fertiger Griebenschmalzaufstrich.“"	"OPTIONAL"	"Schweineschmalz Ausgelassenes Schweinefett zum Braten, Backen oder Verfeinern; Tobias Rostock Speiseöl Kochfett genaue Rohware; Kochfett; Das Öl- oder Kochfettregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LASAGNE_SHEETS"	"Lasagneplatten"	"APPLICABLE"	"Breite flache Weizenpastablätter für geschichtete Gerichte; frisch, getrocknet oder vorgekocht verwendbar."	"GENERAL_LOCAL"	"Die Beschaffung von „Lasagneplatten“ erfolgt in Rostock über das Getreide-, Mehl-, Reis- oder Teigwarenregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Für „Lasagneplatten“ kontrolliert Tobias den Rostocker Bezug über das Getreide-, Mehl-, Reis- oder Teigwarenregal eines gewöhnlichen großen Rostocker Supermarkts mit diesem inhaltlichen Maßstab: „Breite flache Weizenpastablätter für geschichtete Gerichte; frisch, getrocknet oder vorgekocht verwendbar.“"	"OPTIONAL"	"Lasagneplatten Breite flache Weizenpastablätter für geschichtete Gerichte; Tobias Rostock Getreide Stärke Teigware genaue Form; Weizenpasta; Das Getreide-, Mehl-, Reis- oder Teigwarenregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die verlangte frische Form"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LEAFY_GREENS"	"Blattgemüse"	"APPLICABLE"	"Offene Vorgabe für Gemüse, dessen Blätter kulinarisch im Mittelpunkt stehen; Salate und Kochgemüse sind möglich."	"GENERAL_LOCAL"	"Die Rostocker Warenprüfung für „Blattgemüse“ erfolgt über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Tobias nutzt in Rostock die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts für „Blattgemüse“ unter folgender Warenvorgabe: „Offene Vorgabe für Gemüse, dessen Blätter kulinarisch im Mittelpunkt stehen; Salate und Kochgemüse sind möglich.“"	"OPTIONAL"	"Blattgemüse Offene Vorgabe für Gemüse, dessen Blätter kulinarisch im Mittelpunkt stehen; Tobias Rostock Gemüse frisch TK genaue Sorte; Gemüse; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die geforderte Blatt- oder Kräuterform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LEBERKAESE"	"Leberkäse"	"APPLICABLE"	"Fein zerkleinertes, gebackenes Fleisch- oder Brühwursterzeugnis nach Leberkäse- beziehungsweise Fleischkäse-Art; konkrete Fleischmischung kann variieren. Nicht gewöhnlicher Hackbraten."	"GENERAL_LOCAL"	"Für „Leberkäse“ führt der Rostocker Marktweg über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Leberkäse“ nach dieser Produktbeschreibung: „Fein zerkleinertes, gebackenes Fleisch- oder Brühwursterzeugnis nach Leberkäse- beziehungsweise Fleischkäse-Art; konkrete Fleischmischung kann variieren. Nicht gewöhnlicher Hackbraten.“"	"OPTIONAL"	"Leberkäse Fein zerkleinertes, gebackenes Fleisch- oder Brühwursterzeugnis nach…; Tobias Rostock Fleisch Wurst exakte Tierart Zuschnitt; Wurst; Die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die präzise tierische Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LEEK"	"Lauch"	"APPLICABLE"	"Lauch mit mild-süßlichem Zwiebelaroma; weißer und grüner Teil sind je nach Gericht verwendbar."	"GENERAL_LOCAL"	"Tobias prüft „Lauch“ in Rostock über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Tobias organisiert über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts die Rostocker Prüfung von „Lauch“ unter folgender Warenvorgabe: „Lauch mit mild-süßlichem Zwiebelaroma; weißer und grüner Teil sind je nach Gericht verwendbar.“"	"OPTIONAL"	"Lauch Lauch mit mild-süßlichem Zwiebelaroma; weißer und grüner Teil sind je nach…; Tobias Rostock Gemüse frisch TK genaue Sorte; Lauch- und Zwiebelgemüse; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LEFSE"	"Lefse"	"APPLICABLE"	"Weiches norwegisches Fladenbrot nach Lefse-Art; je nach Variante auf Kartoffel- oder Mehlbasis. Gemeint ist die Lefse selbst, nicht eine bestimmte süße oder herzhafte Füllung beziehungsweise ein fertig belegtes Gericht."	"NICHE_IMPORT"	"Für „Lefse“ führt der Rostocker Marktweg über skandinavische Lebensmittelfachhändler, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und Importbeschränkungen, einen gezielten Händlerbesuch sowie Standardversand ausweist."	"DIFFICULT"	"Über skandinavische Lebensmittelfachhändler (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und Importbeschränkungen, einen gezielten Händlerbesuch sowie Standardversand) prüft Tobias in Rostock „Lefse“, wobei folgende Abgrenzung gilt: „Weiches norwegisches Fladenbrot nach Lefse-Art; je nach Variante auf Kartoffel- oder Mehlbasis. Gemeint ist die Lefse selbst, nicht eine bestimmte süße oder herzhafte Füllung beziehungsweise ein fertig belegtes Gericht.“"	"REQUIRED"	"Lefse Weiches norwegisches Fladenbrot nach Lefse-Art; Tobias Rostock Backware Süßungsmittel exakte Form; Fladenbrot; skandinavischen Lebensmittel-Spezialhandel Nischenweg; Bestand Produktform Versandlogistik; die exakt festgelegte Darreichung"	"AV2E-083"	"REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|RESEARCH_REQUIRED|REFERENCE_ANCHOR_V2"	"APPROVED_REFERENCE_ANCHOR_V2"
"LEGUMES"	"Hülsenfrüchte"	"APPLICABLE"	"Offene Vorgabe für Hülsenfrüchte wie Bohnen, Linsen, Erbsen oder Kichererbsen; Produktform bleibt wählbar."	"GENERAL_LOCAL"	"Für „Hülsenfrüchte“ wird das Angebot über das Hülsenfrucht-, Konserven- oder Trockensortiment eines gewöhnlichen großen Rostocker Supermarkts kontrolliert."	"EASY"	"Beim Rostocker Einkauf setzt Tobias für „Hülsenfrüchte“ auf das Hülsenfrucht-, Konserven- oder Trockensortiment eines gewöhnlichen großen Rostocker Supermarkts, wobei folgende Abgrenzung gilt: „Offene Vorgabe für Hülsenfrüchte wie Bohnen, Linsen, Erbsen oder Kichererbsen; Produktform bleibt wählbar.“"	"OPTIONAL"	"Hülsenfrüchte Offene Vorgabe für Hülsenfrüchte wie Bohnen, Linsen, Erbsen oder Kichererbsen; Tobias Rostock Hülsenfrucht getrocknet vorgegart Sorte; Hülsenfrüchte; Das Hülsenfrucht-, Konserven- oder Trockensortiment eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LEMON"	"Zitrone"	"APPLICABLE"	"Zitrone mit aromatischer Schale und deutlich saurem Saft; Fruchtfleisch und unbehandelte Schale sind ebenfalls nutzbar."	"GENERAL_LOCAL"	"Beim Einkauf von „Zitrone“ nutzt Tobias die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Die Beschaffung von „Zitrone“ über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock mit diesem inhaltlichen Maßstab: „Zitrone mit aromatischer Schale und deutlich saurem Saft; Fruchtfleisch und unbehandelte Schale sind ebenfalls nutzbar.“"	"OPTIONAL"	"Zitrone Zitrone mit aromatischer Schale und deutlich saurem Saft; Tobias Rostock Obst frisch TK genaue Sorte; Zitrusfrucht; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LEMONGRASS"	"Zitronengras"	"APPLICABLE"	"Faserige aromatische Halme mit klarem Zitronenduft; meist angedrückt, fein geschnitten oder zum Mitkochen verwendet."	"GENERAL_BROAD"	"Tobias prüft „Zitronengras“ in Rostock über gut sortierte Vollsortimenter, Kräutergärtnereien und etablierte deutsche Frischehändler."	"PLANNED"	"Über gut sortierte Vollsortimenter, Kräutergärtnereien und etablierte deutsche Frischehändler prüft Tobias in Rostock „Zitronengras“, wobei folgende Abgrenzung gilt: „Faserige aromatische Halme mit klarem Zitronenduft; meist angedrückt, fein geschnitten oder zum Mitkochen verwendet.“"	"OPTIONAL"	"Zitronengras Faserige aromatische Halme mit klarem Zitronenduft; Tobias Rostock frische Kräuter Bund Topf genaue Art; Kräuter und Würzblätter; gut sortierte Vollsortimenter, Kräutergärtnereien und etablierte deutsche Frischehändler; gezielter Einkauf Deutschland Wochenvorlauf; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"LENTILS"	"Linsen"	"APPLICABLE"	"Linsen als kleine trockene Hülsenfrüchte; Sorte, Farbe und Formstabilität bleiben offen."	"GENERAL_LOCAL"	"Der konkrete Bezug von „Linsen“ läuft über das Hülsenfrucht-, Konserven- oder Trockensortiment eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Das Angebot zu „Linsen“ über das Hülsenfrucht-, Konserven- oder Trockensortiment eines gewöhnlichen großen Rostocker Supermarkts kontrolliert Tobias in Rostock, wobei folgende Abgrenzung gilt: „Linsen als kleine trockene Hülsenfrüchte; Sorte, Farbe und Formstabilität bleiben offen.“"	"OPTIONAL"	"Linsen Linsen als kleine trockene Hülsenfrüchte; Tobias Rostock Hülsenfrucht getrocknet vorgegart Sorte; Hülsenfrüchte; Das Hülsenfrucht-, Konserven- oder Trockensortiment eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LETTUCE"	"Kopfsalat"	"APPLICABLE"	"Kopfsalat mit zarten bis knackigen Blättern und mildem Geschmack; nicht die gesamte Blattsalatfamilie."	"GENERAL_LOCAL"	"Für „Kopfsalat“ führt der Rostocker Marktweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Kopfsalat“ und verwendet dafür die Definition: „Kopfsalat mit zarten bis knackigen Blättern und mildem Geschmack; nicht die gesamte Blattsalatfamilie.“"	"OPTIONAL"	"Kopfsalat Kopfsalat mit zarten bis knackigen Blättern und mildem Geschmack; Tobias Rostock Gemüse frisch TK genaue Sorte; Blattsalat; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LIEGE_SYRUP"	"Sirop de Liège"	"APPLICABLE"	"Dick eingekochter belgischer Apfel-/Birnen-Fruchtsirup beziehungsweise Fruchtaufstrich nach Lütticher Tradition. Kein Markenbegriff; Zuckerzusatz und konkrete Fruchtanteile können variieren. Nicht mit dünnflüssigem Getränkesirup oder beliebigem Fruchtsirup gleichsetzen."	"NICHE_IMPORT"	"Tobias prüft „Sirop de Liège“ in Rostock über Belgoshop – Meurens Original Lütticher Sirup, wobei die Evidenz ein dokumentiertes laufendes Angebot und Standardversand ausweist."	"DIFFICULT"	"Über Belgoshop – Meurens Original Lütticher Sirup (Evidenzstand: ein dokumentiertes laufendes Angebot und Standardversand) prüft Tobias in Rostock „Sirop de Liège“, wobei folgende Abgrenzung gilt: „Dick eingekochter belgischer Apfel-/Birnen-Fruchtsirup beziehungsweise Fruchtaufstrich nach Lütticher Tradition. Kein Markenbegriff; Zuckerzusatz und konkrete Fruchtanteile können variieren. Nicht mit dünnflüssigem Getränkesirup oder beliebigem Fruchtsirup gleichsetzen.“"	"REQUIRED"	"Sirop de Liège Dick eingekochter belgischer Apfel-/Birnen-Fruchtsirup beziehungsweise…; Tobias Rostock Sauergemüse Konserve Ferment exakte Form; konservierte pflanzliche Zutat / Sirup; Belgoshop – Meurens Original Lütticher Sirup; Bestand Produktform Versandlogistik; die sirupartige Produktform"	"AV2N-A-0135"	"TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"LIEGE_WAFFLE"	"Lütticher Waffel"	"APPLICABLE"	"Kleinere, kompakte belgische Waffel nach Lütticher Art mit eingebackenem Perl- beziehungsweise Hagelzucker und typischerweise karamellisierten Rändern. Nicht mit der größeren, luftigen Brüsseler Waffel gleichsetzen."	"GENERAL_BROAD"	"Morgenmarkt – Gut & Günstig Lütticher Zuckerwaffeln 550 g belegt formgenau: Morgenmarkt bietet belgische Lütticher Zuckerwaffeln der allgemeinen Handelsmarke Gut & Günstig als sofort verfügbare 550-g-Packung an. Für Tobias in Rostock gilt: Deutscher Online-Lebensmittelversand nach Bornheim und Rostock; Logistik STANDARD_SHIPPING. Die Seite nennt Zuckeranteil und Herkunft, aber die Stückchenform nur im Produktnamen; die bestehende REWE-Seite belegt ergänzend ausdrücklich Perlzucker."	"PLANNED"	"Tobias prüft für Rostock die konkrete REWE-Filiale; die Lütticher Form mit Hagelzucker ist exakt, aber nicht als durchgehend lokaler Bestand zugesichert."	"REQUIRED"	"Gut und Günstig Lütticher Zuckerwaffeln 550 g Morgenmarkt sofort verfügbar | Tobias in Rostock | IN_STOCK STANDARD_SHIPPING"	"AV2N-A-0136|AV2N-P-0016"	"TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|RESEARCH_REQUIRED|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"LIGHT_SOY_SAUCE"	"helle Sojasauce"	"APPLICABLE"	"Dünnflüssige salzige Sojasauce für Würze und Umami; nicht die süßlichere dunkle Sojasauce."	"GENERAL_BROAD"	"Für „helle Sojasauce“ wird das Angebot über gut sortierte Vollsortimenter und etablierte deutsche Feinkost- oder Würzsaucenhändler kontrolliert."	"PLANNED"	"Beim Rostocker Einkauf setzt Tobias für „helle Sojasauce“ auf gut sortierte Vollsortimenter und etablierte deutsche Feinkost- oder Würzsaucenhändler, wobei folgende Abgrenzung gilt: „Dünnflüssige salzige Sojasauce für Würze und Umami; nicht die süßlichere dunkle Sojasauce.“"	"OPTIONAL"	"helle Sojasauce Dünnflüssige salzige Sojasauce für Würze und Umami; Tobias Rostock Würzsauce Paste Essig exakte Sorte; Sojasauce; gut sortierte Vollsortimenter und etablierte deutsche Feinkost- oder Würzsaucenhändler; gezielter Einkauf Deutschland Wochenvorlauf; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"LIME"	"Limette"	"APPLICABLE"	"Limette mit intensiv aromatischer Schale und saurem Saft; konkrete Sorte bleibt offen."	"GENERAL_LOCAL"	"Für „Limette“ wird das Angebot über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts kontrolliert."	"EASY"	"Beim Rostocker Einkauf setzt Tobias für „Limette“ auf die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts mit diesem inhaltlichen Maßstab: „Limette mit intensiv aromatischer Schale und saurem Saft; konkrete Sorte bleibt offen.“"	"OPTIONAL"	"Limette Limette mit intensiv aromatischer Schale und saurem Saft; Tobias Rostock Obst frisch TK genaue Sorte; Zitrusfrucht; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LINGONBERRY"	"Preiselbeeren"	"APPLICABLE"	"Preiselbeeren mit herber Säure; frisch oder ungesüßt tiefgekühlt gemeint, nicht Konfitüre."	"GENERAL_BROAD"	"Der konkrete Bezug von „Preiselbeeren“ läuft über gut sortierte Vollsortimenter und etablierte deutsche Frucht- oder Frischehändler."	"PLANNED"	"Das Angebot zu „Preiselbeeren“ über gut sortierte Vollsortimenter und etablierte deutsche Frucht- oder Frischehändler kontrolliert Tobias in Rostock, wobei folgende Abgrenzung gilt: „Preiselbeeren mit herber Säure; frisch oder ungesüßt tiefgekühlt gemeint, nicht Konfitüre.“"	"OPTIONAL"	"Preiselbeeren Preiselbeeren mit herber Säure; frisch oder ungesüßt tiefgekühlt gemeint…; Tobias Rostock Obst frisch TK genaue Sorte; Beeren; gut sortierte Vollsortimenter und etablierte deutsche Frucht- oder Frischehändler; gezielter Einkauf Deutschland Wochenvorlauf; die zugelassene Frisch- oder Tiefkühlform"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"LINGONBERRY_PRESERVES"	"Preiselbeer-Konfitüre/-kompott"	"APPLICABLE"	"Gesüßte Preiselbeerzubereitung wie Konfitüre, Kompott oder gerührte Preiselbeeren; nicht die ungesüßte frische Beere."	"GENERAL_LOCAL"	"Die Beschaffung von „Preiselbeer-Konfitüre/-kompott“ erfolgt in Rostock über das Konserven-, Sauergemüse- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Für „Preiselbeer-Konfitüre/-kompott“ kontrolliert Tobias den Rostocker Bezug über das Konserven-, Sauergemüse- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts, wobei folgende Abgrenzung gilt: „Gesüßte Preiselbeerzubereitung wie Konfitüre, Kompott oder gerührte Preiselbeeren; nicht die ungesüßte frische Beere.“"	"OPTIONAL"	"Preiselbeer-Konfitüre/-kompott Gesüßte Preiselbeerzubereitung wie Konfitüre, Kompott oder gerührte…; Tobias Rostock Sauergemüse Konserve Ferment exakte Form; Preiselbeeren / konservierte pflanzliche Zutat; Das Konserven-, Sauergemüse- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LIQUORICE"	"Lakritz"	"APPLICABLE"	"Lakritzware mit süßen und salzigen Ausprägungen, auch als Kochzutat verwendbar; nicht Süßholzwurzel oder reiner Lakritzextrakt."	"GENERAL_LOCAL"	"Beim Einkauf von „Lakritz“ nutzt Tobias das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und eine lokale Standortprüfung ausweist."	"EASY"	"Über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und eine lokale Standortprüfung) prüft Tobias in Rostock „Lakritz“, wobei folgende Abgrenzung gilt: „Lakritzware mit süßen und salzigen Ausprägungen, auch als Kochzutat verwendbar; nicht Süßholzwurzel oder reiner Lakritzextrakt.“"	"OPTIONAL"	"Lakritz Lakritzware mit süßen und salzigen Ausprägungen, auch als Kochzutat verwendbar; Tobias Rostock Backware Süßungsmittel exakte Form; Süßware; Das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	"AV2E-012"	"REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|REFERENCE_ANCHOR_V2"	"APPROVED_REFERENCE_ANCHOR_V2"
"LIVER_PATE"	"Leberpastete"	"APPLICABLE"	"Streichfähige Pastete auf Leberbasis; umfasst typische Schweine-, Geflügel- und vergleichbare Leberpasteten, nicht reine Leber und nicht automatisch Leberwurst."	"GENERAL_LOCAL"	"Die Beschaffung von „Leberpastete“ erfolgt in Rostock über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Den Weg über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts nutzt Tobias in Rostock für „Leberpastete“ nach dieser Produktbeschreibung: „Streichfähige Pastete auf Leberbasis; umfasst typische Schweine-, Geflügel- und vergleichbare Leberpasteten, nicht reine Leber und nicht automatisch Leberwurst.“"	"OPTIONAL"	"Leberpastete Streichfähige Pastete auf Leberbasis; umfasst typische Schweine-, Geflügel-…; Tobias Rostock Fleisch Wurst exakte Tierart Zuschnitt; Innereien; Die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die präzise tierische Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LIVER_SAUSAGE"	"Leberwurst"	"APPLICABLE"	"Leberhaltige Koch- oder Streichwurst; Tierart, Körnung und Rezeptur können variieren. Nicht mit Leberpastete gleichsetzen."	"GENERAL_LOCAL"	"Beim Einkauf von „Leberwurst“ nutzt Tobias die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Für „Leberwurst“ kontrolliert Tobias den Rostocker Bezug über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts nach dieser Produktbeschreibung: „Leberhaltige Koch- oder Streichwurst; Tierart, Körnung und Rezeptur können variieren. Nicht mit Leberpastete gleichsetzen.“"	"OPTIONAL"	"Leberwurst Leberhaltige Koch- oder Streichwurst; Tierart, Körnung und Rezeptur können…; Tobias Rostock Fleisch Wurst exakte Tierart Zuschnitt; Innereien / Wurst; Die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die präzise tierische Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"LOBSTER"	"Hummer"	"APPLICABLE"	"Hummer mit festem, süßlichem Fleisch aus Schwanz und Scheren; ganz, ausgelöst, frisch oder tiefgekühlt verwendbar."	"SPECIALTY_BROAD"	"Tobias prüft „Hummer“ in Rostock über spezialisierte Bezugsquellen für Fisch und Meeresfrüchte, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und Tiefkühlversand sowie einen gezielten Händlerbesuch ausweist."	"SPECIALTY"	"Über spezialisierte Bezugsquellen für Fisch und Meeresfrüchte (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und Tiefkühlversand sowie einen gezielten Händlerbesuch) prüft Tobias in Rostock „Hummer“, wobei folgende Abgrenzung gilt: „Hummer mit festem, süßlichem Fleisch aus Schwanz und Scheren; ganz, ausgelöst, frisch oder tiefgekühlt verwendbar.“"	"REQUIRED"	"Hummer Hummer mit festem, süßlichem Fleisch aus Schwanz und Scheren; Tobias Rostock Fisch Seafood Frische TK genauer Zuschnitt; Krustentiere; Spezialhandel für Fisch und Meeresfrüchte; mehrere unabhängige Fachhändler Marktbreite; die zugelassene Frisch- oder Tiefkühlform"	"AV2E-017"	"REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|FORM_SENSITIVE|RESEARCH_REQUIRED|REFERENCE_ANCHOR_V2"	"APPROVED_REFERENCE_ANCHOR_V2"
