"concept_code"	"display_name"	"previous_cooking_novelty"	"proposed_cooking_novelty"	"delta"	"absolute_delta"	"novelty_rationale"	"review_flags"
"SEA_BASS"	"Wolfsbarsch"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SEA_BREAM"	"Dorade"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SEA_SNAILS"	"Meeresschnecken"	"5"	"3"	"-2"	"2"	"In verschiedenen Küstenküchen konventionell, gemeinsam aber als offene Meeresschneckenwahl deutlich speziell."	"BROAD_CONCEPT|APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SEAWEED"	"Algen"	"3"	"2"	"-1"	"1"	"Die offene Algenvorgabe bietet mehrere im gemeinsamen Kochhorizont vertraute Arten und Rollen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"SEITAN"	"Seitan"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SERRANO_CHILI"	"Serrano-Chili"	"4"	"2"	"-2"	"2"	"Serrano-Chili folgt vertrauten frischen Chilirollen in Salsa, Sauce, Marinade und Pfanne."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SESAME_OIL"	"Sesamöl"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SHAOXING_WINE"	"Shaoxing-Reiswein"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SHELLFISH"	"Schalen- und Krustentiere"	"2"	"1"	"-1"	"1"	"Die offene Familie erlaubt viele vertraute Muschel- und Krebstiergerichte."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"SHIITAKE"	"Shiitake"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SHIMEJI"	"Shimeji"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SHIRATAKI"	"Shirataki-Nudeln"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SHRIMP_PASTE"	"Garnelenpaste"	"4"	"3"	"-1"	"1"	"Die offene Familie ist in vielen südostasiatischen Würzrollen konventionell, gemeinsam aber intensiv und klar kontextgebunden."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"SICHUAN_PEPPER"	"Szechuanpfeffer"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SILKEN_TOFU"	"Seidentofu"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SLIVOVICE"	"Sliwowitz"	"3"	"4"	"1"	"1"	"Pflaumenbrand wird überwiegend getrunken; als erkennbare Kochzutat sind seine Saucen-, Flambier- und Dessertrollen eng."	"LEVEL_4|CHANGED_FROM_BASELINE"
"SMOKED_PAPRIKA"	"geräuchertes Paprikapulver"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SMOKED_SALMON"	"Räucherlachs"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SMOKED_TOFU"	"Räuchertofu"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"SMOKED_TROUT"	"Räucherforelle"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SOBA"	"Soba"	"3"	"1"	"-2"	"2"	"Soba sind im gemeinsamen ostasiatischen Kochhorizont eine vertraute Nudelbasis für warme und kalte Gerichte."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SOBRASADA"	"Sobrasada"	"4"	"3"	"-1"	"1"	"Als balearische Streichwurst konventionell, gemeinsam aber durch fertige Form und kräftige Aromatik klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"SOLE"	"Seezunge"	"4"	"1"	"-3"	"3"	"Seezunge ist ein klassischer milder Speisefisch mit selbstverständlichen Pfannen-, Ofen- und Saucenrollen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SOUR_RYE_STARTER"	"Żur-Saueransatz"	"4"	"3"	"-1"	"1"	"Als polnische Suppenbasis konventionell, außerhalb dieser engen Säuerungsrolle aber klar kontextgebunden."	"CHANGED_FROM_BASELINE"
"SOY_DRINK"	"Sojadrink"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"SOY_PRODUCTS"	"Sojazutat"	"1"	"2"	"1"	"1"	"Die offene Sojafamilie lässt viele vertraute Bohnen-, Tofu-, Drink- und Würzformen zu."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"SPAGHETTI_SQUASH"	"Spaghettikürbis"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SPECULOOS"	"Spekulatius"	"1"	"4"	"3"	"3"	"Der fertige Gewürzkeks wird überwiegend als Süßware gegessen; als erkennbare Gerichtszutat bleiben wenige Dessert- und Krustenrollen."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SPELT"	"Dinkel"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"SPLIT_PEAS"	"Spalterbsen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"SQUID"	"Tintenfisch"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"STEM_VEGETABLES"	"Stängelgemüse"	"2"	"1"	"-1"	"1"	"Die offene Familie umfasst zahlreiche vertraute Gemüsezubereitungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"STINKY_TOFU"	"Stinky Tofu"	"5"	"4"	"-1"	"1"	"Der intensiv fermentierte Tofu besitzt wenige naheliegende ostasiatische Streetfood- und Würzrollen und ist ein deutlicher Twist."	"LEVEL_4|CHANGED_FROM_BASELINE"
"STOCKFISH"	"Stockfisch"	"5"	"3"	"-2"	"2"	"In nord- und südeuropäischen Gerichten konventionell, gemeinsam aber als ungesalzener Trockenfisch klar kontextgebunden."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"STROOPWAFEL"	"Stroopwafel"	"2"	"4"	"2"	"2"	"Die gefüllte fertige Waffel ist normalerweise Süßware; ihre erkennbare Integration beschränkt sich auf wenige Dessert- und Krustenrollen."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SUN_DRIED_TOMATO"	"getrocknete Tomaten"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SWORDFISH"	"Schwertfisch"	"4"	"2"	"-2"	"2"	"Schwertfisch besitzt etablierte Steak-, Grill-, Pfannen- und Schmorrollen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SYRUP"	"Sirup"	"1"	"2"	"1"	"1"	"Die offene Sirupfamilie lässt viele etablierte Süß-, Glasur- und Saucenrollen zu."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"TABLEA"	"Tablea oder Tableya"	"4"	"3"	"-1"	"1"	"In philippinischen Kakao- und Süßspeisenrollen konventionell, gemeinsam aber als ungesüßte Kakaomasse klar kontextgebunden."	"CHANGED_FROM_BASELINE"
"TAHINI"	"Tahini"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TAI_PLA"	"Tai Pla"	"5"	"4"	"-1"	"1"	"Die fermentierte Fischinnereienwürze besitzt eine sehr enge südthailändische Curryrolle und prägt das Gericht extrem."	"APPROVED_ANCHOR|LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"TAMARI"	"Tamari"	"3"	"1"	"-2"	"2"	"Tamari erfüllt im gemeinsamen Kochhorizont die selbstverständliche Würzrolle einer kräftigen Sojasauce."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"TAMARIND"	"Tamarinde"	"4"	"2"	"-2"	"2"	"Tamarinde besitzt zahlreiche etablierte Säure- und Fruchtrollen in Currys, Suppen, Saucen und Chutneys."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"TAPENADE"	"Tapenade"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TAPIOCA_STARCH"	"Tapiokastärke"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TARO"	"Taro"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TARRAGON"	"Estragon"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TEA"	"Tee"	"2"	"4"	"2"	"2"	"Auch als offene Familie wird Tee überwiegend getrunken; erkennbare Kochrollen über Aufguss, Räuchern und Desserts bleiben begrenzt."	"BROAD_CONCEPT|LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"TERIYAKI_SAUCE"	"Teriyakisauce"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"THAI_EGGPLANT"	"Thai-Aubergine"	"4"	"3"	"-1"	"1"	"In thailändischen Currys konventionell, gemeinsam aber durch Textur und leichte Bitterkeit klar kontextgebunden."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"THAI_GREEN_CURRY_PASTE"	"grüne Thai-Currypaste"	"2"	"3"	"1"	"1"	"Die fertige Paste hat eine klare konventionelle Curryrolle, legt Stil, Aromatik und Schärferichtung aber stark fest."	"CHANGED_FROM_BASELINE"
"THAI_RED_CURRY_PASTE"	"rote Thai-Currypaste"	"2"	"3"	"1"	"1"	"Die fertige Paste hat eine klare konventionelle Curryrolle, legt Stil, Aromatik und Schärferichtung aber stark fest."	"CHANGED_FROM_BASELINE"
"TOMATILLO"	"Tomatillo"	"4"	"2"	"-2"	"2"	"Tomatillo hat klare etablierte Rollen in Salsa, Sauce, Suppe und Schmorgericht."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"TRIPE"	"Kutteln"	"5"	"3"	"-2"	"2"	"In vielen regionalen Suppen und Schmorgerichten konventionell, gemeinsam aber durch Organ und Textur stark kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"TROUT_ROE"	"Forellenrogen"	"5"	"2"	"-3"	"3"	"Forellenrogen besitzt vertraute Rollen als Topping, Einlage und salzige Akzentkomponente."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"TRUFFLE"	"Trüffel"	"5"	"3"	"-2"	"2"	"In Pasta, Ei-, Kartoffel- und Saucengerichten klassisch, zugleich aromatisch sehr stark richtungsgebend."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"TUNA"	"Thunfisch"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TURKEY_MINCE"	"Putenhack"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TURNIP"	"Speiserübe"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"TURRON"	"Turrón"	"3"	"4"	"1"	"1"	"Die fertige Nougat-Süßware bietet nur wenige naheliegende Dessert-, Füllungs- und Krustenrollen und ist ein deutlicher Twist."	"LEVEL_4|CHANGED_FROM_BASELINE"
"UBE"	"Ube"	"4"	"3"	"-1"	"1"	"In philippinischen Süßspeisen konventionell, gemeinsam aber durch Farbe, Stärke und Aroma klar kontextgebunden."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"
"UDON"	"Udon"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VANILLA"	"Vanille"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VEAL"	"Kalbfleisch"	"2"	"1"	"-1"	"1"	"Die offene Kalbfleischvorgabe lässt zahlreiche klassische Zuschnitte und Garmethoden zu."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"VEAL_CHEEK"	"Kalbsbäckchen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VEAL_CUTLET"	"Kalbsschnitzel"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VEAL_GOULASH"	"Kalbsgulasch"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VEAL_LIVER"	"Kalbsleber"	"4"	"2"	"-2"	"2"	"Kalbsleber besitzt klassische Kurzbrat-, Saucen- und Pastetenrollen; das Organ ist kulinarisch gut etabliert."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"VEAL_MINCE"	"Kalbshackfleisch"	"3"	"1"	"-2"	"2"	"Kalbshack erfüllt selbstverständliche Hackfleischrollen in Füllung, Kloß, Bratling und Sauce."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"VEAL_ROAST"	"Kalbsbraten"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VEAL_SHANK"	"Kalbshaxe"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VEAL_STEAK"	"Kalbssteak"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VEAL_STRIPS"	"Kalbsgeschnetzeltes"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VENISON"	"Hirschfleisch"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"VIETNAMESE_CORIANDER"	"vietnamesischer Koriander"	"5"	"2"	"-3"	"3"	"Rau răm wird in vertrauten vietnamesischen Kräuter-, Salat-, Suppen- und Begleitrollen verwendet."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"VIETNAMESE_SOYBEAN_PASTE"	"Tương oder vietnamesische Sojabohnenpaste"	"4"	"3"	"-1"	"1"	"In vietnamesischen Dip-, Schmor- und Würzrollen konventionell, gemeinsam aber klar kontextgebunden."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"WAFFLES"	"Waffel"	"1"	"3"	"2"	"2"	"Die offene Waffelfamilie hat etablierte süße und herzhafte Wege, bleibt als fertige Pflichtkomponente aber deutlich enger als Brot."	"BROAD_CONCEPT|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"WAKAME"	"Wakame"	"3"	"1"	"-2"	"2"	"Wakame ist im gemeinsamen ostasiatischen Kochhorizont eine selbstverständliche Suppen-, Salat- und Einlagenzutat."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"WATER_CHESTNUT"	"Wasserkastanien"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"WATER_SPINACH"	"Wasserspinat oder Kangkong"	"4"	"2"	"-2"	"2"	"Kangkong folgt vertrauten Blattgemüserollen in Pfanne, Suppe und kurzer Garung."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"WATERCRESS"	"Brunnenkresse"	"3"	"1"	"-2"	"2"	"Brunnenkresse ist ein etabliertes Salat-, Suppen-, Kräuter- und Garniturelement."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"WATERMELON"	"Wassermelone"	"1"	"3"	"2"	"2"	"Wassermelone wird überwiegend roh gegessen; herzhafte, gegarte oder als Schale genutzte Rollen sind etabliert, aber klar kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"WHITE_BEANS"	"weiße Bohnen"	"1"	"2"	"1"	"1"	"Die offene weiße-Bohnen-Familie besitzt viele vertraute Suppen-, Salat- und Schmorrollen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"WHITE_PEPPER"	"weißer Pfeffer"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"WHITE_TEA"	"weißer Tee"	"2"	"4"	"2"	"2"	"Weißer Tee wird überwiegend getrunken; als erkennbare Kochzutat sind seine zarten Aufguss- und Dessertrollen eng."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"WHITE_WINE"	"Weißwein"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"WILD_BOAR"	"Wildschwein"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"WILD_RICE"	"Wildreis"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"WONTON_WRAPPERS"	"Wonton-Teigblätter"	"3"	"1"	"-2"	"2"	"Wontonblätter sind im gemeinsamen Kochhorizont eine selbstverständliche Hülle für Füllen, Frittieren und Suppeneinlagen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"WOOD_EAR"	"Mu-Err-Pilze"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"WORCESTERSHIRE_SAUCE"	"Worcestersauce"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"XO_SAUCE"	"XO-Sauce"	"4"	"3"	"-1"	"1"	"In Hongkonger Reis-, Nudel- und Meeresfrüchterollen konventionell, gemeinsam aber intensiv und klar kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"YAM"	"Yamswurzel"	"4"	"2"	"-2"	"2"	"Yams erfüllt vertraute Knollen- und Stärkerollen beim Kochen, Rösten, Frittieren und Stampfen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"YELLOW_LENTILS"	"gelbe Linsen"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"YELLOW_SPLIT_PEAS"	"gelbe Schälerbsen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"YUZU"	"Yuzu"	"5"	"3"	"-2"	"2"	"In japanischen Saucen, Brühen und Süßspeisen konventionell, gemeinsam aber durch das markante Aroma klar richtungsgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"ZAATAR"	"Za’atar"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
